cajole,v,to persuade somone to do something they are relunctant to do
concur,v,to unite or agree (in action or opinion)
delineate,v,to describe or depict
digress,v,"to turn aside from main subject of attention, to deviate"
elucidate,v,"to clarify, make clear"
enumerate,v,to mention each member of a list one by one
fathom,v,"to comprehend, come to an understanding of"
prattle,v,"to babble, speak incessantly in a childish manner"
evoke,v,"to bring or recall to the conscious mind"
instigate,v,"to set on, to incite, to bring about"
aspire,v,"to hope or dream; especially to work towards a profession"
pacify,v,"to bring peace"
placate,v,"to calm down an angry person"
rouse,v,"to wake or be awoken from sleep or apathy; to provoke"
abhor,v,"to detest; to regard with horror"
abjure,v,"to renounce upon oath; to disavow"
abridge,v,"to make shorter"
abrogate,v,"to annul or abolish by an authoritative act; to put an end to"
assuage,v,"to lessen the intensity of something; to calm someone down"
dispel,v,"to get rid of a feeling or belief"
stupefy,v,"to shock; to make someone unable to think normally"
corroborate,v,to confirm or support something with evidence
incriminate,v,to accuse or bring charges against
sanction,v,"to ratify; to make valid"
vindicate,v,"to clear from an accusation, suspicion or criticsm"
patronize,v,"to assume a tone of superiority; to treat condescendingly"
procure,v,"to obtain"
depose,v,"to put down; to lay down; to put away"
usurp,v,"to seize power from another, usually by illegitimate means"
berate,v,"to chide or scold vehemently"
disparage,v,"to degrade or dishonor"
spurn,v,"to reject disdainfully"
coalesce,v,"to join into a single entity"
elicit,v,"to draw out, bring forth something latent"
induce,v,"to cause; to bring about"
abate,v,"to become less intense or widespread"
excise,v,"to cut out; to remove"
exploit,v,"to use for one's own advantage"
abscond,v,"to flee, often to avoid arrest"
efface,v,"to erase"
circumscribe,v,"to restrict something within limits"
encompass,v,
germinate,v,
incubate,v,
preclude,v,
proliferate,v,
hasten,v,
divulge,v,
dupe,v,
decimate,v,
elude,v,
absolve,v,
abstain,v,
saturate,v,
transcend,v,
wrest,v,
transverse,v,
transmute,v,
sojourn,v,
